ID,英文名稱,中文名稱,圖片,備註,更新日期
3635448,parallel axiom,平行公設；平行公理,,,2018-12-17
3635449,parallelogram law,平行四邊形定律,,,2018-12-17
3635450,parallelogram theorem,平行四邊形定理,,,2018-12-17
3635451,parameter,參數；參變量,,,2018-12-17
3635452,parametric equation,參數方程[式],,,2018-12-17
3635453,parametric equation of line,直線參數式,,,2018-12-17
3635454,partition,分割,,,2018-12-17
3635455,Pascal triangle,巴斯卡三角形,,,2018-12-17
3635456,"Pascal, Blaise (1623-1662)",巴斯卡,,,2018-12-17
3635457,percentile rank,百分等級,,,2018-12-17
3635458,period,週期,,,2018-12-17
3635459,periodic decimal,循環小數,,,2018-12-17
3635460,periodic function,週期函數,,,2018-12-17
3635461,permutation,排列；置換,,,2018-12-17
3635462,perpendicular,垂直[於],,,2018-12-17
3635463,pie chart,圓形圖,,,2018-12-17
3635464,plane,平面,,,2018-12-17
3635465,plane rectangular coordinate system,平面直角坐標系,,,2018-12-17
3635466,plus,加；加號；正的,,,2018-12-17
3635467,plus sign,加號；正號,,,2018-12-17
3635468,point,點,,,2018-12-17
3635469,point circle,點圓,,,2018-12-17
3635470,point of inflection；point of inflexion；inflexion,反曲點；拐點,,,2018-12-17
3635471,point of reference,參考點；基準點,,,2018-12-17
3635472,point of tangency,切點,,,2018-12-17
3635473,point slope form,點斜式,,,2018-12-17
3635474,polar axis,極軸,,,2018-12-17
3635475,polar coordinates,極坐標,,,2018-12-17
3635476,polar form,極式,,,2018-12-17
3635477,polynomial,多項式,,,2018-12-17
3635478,polynomial function,多項式函數,,,2018-12-17
3635479,polynomial in one variable,單變數多項式；一元多項式,,,2018-12-17
3635480,polynomial of degree zero,零次多項式,,,2018-12-17
3635481,polynomial of higher degree,高次多項式,,,2018-12-17
3635482,polynomial of interpolation,插值多項式,,,2018-12-17
3635483,polynomial with integer coefficients,整係數多項式,,,2018-12-17
3635484,population,母體,,,2018-12-17
3635485,population parameter,母體參數,,,2018-12-17
3635486,population size,母體大小,,,2018-12-17
3635487,population standard deviation,母體標準差,,,2018-12-17
3635488,population variance,母體變異數,,,2018-12-17
3635489,position vector,位置向量,,,2018-12-17
