ID,英文名稱,中文名稱,圖片,備註,更新日期
3630921,fossil fuel,化石燃料,,,2018-12-17
3630922,fractional distillation,分餾,,,2018-12-17
3630923,Franklin,富蘭克林　,,,2018-12-17
3630924,Fraunhofer,夫朗和斐,,,2018-12-17
3630925,freezing,凝固,,,2018-12-17
3630926,freezing point,凝固點,,,2018-12-17
3630927,freon,氟氯烷,,,2018-12-17
3630928,fructooligosaccharide,寡果醣,,,2018-12-17
3630929,fructose,果糖,,,2018-12-17
3630930,fuel cell,燃料電池,,,2018-12-17
3630931,fullerenes,富勒烯,,,2018-12-17
3630932,functional group,官能基,,,2018-12-17
3630933,fusion,[核]融合；熔化,,,2018-12-17
3630934,galactooligosaccharides,半乳寡醣,,,2018-12-17
3630935,galactose,半乳糖,,,2018-12-17
3630936,galena,方鉛礦,,,2018-12-17
3630937,Galvani,賈法尼,,,2018-12-17
3630938,galvanic cell,賈法尼電池,,,2018-12-17
3630939,galvanized iron,鍍鋅鐵,,,2018-12-17
3630940,Gamelin,甘莫林　,,,2018-12-17
3630941,gas,氣體,,,2018-12-17
3630942,gas constant,氣體常數,,,2018-12-17
3630943,gas discharge tube,氣體放電管,,,2018-12-17
3630944,gaseous state,氣態,,,2018-12-17
3630945,Gay-Lussac,給呂薩克,,,2018-12-17
3630946,gel,凝膠,,,2018-12-17
3630947,gel electrophoresis,凝膠電泳,,,2018-12-17
3630948,geometric isomer,幾何異構物,,,2018-12-17
3630949,geometrical isomer,幾何異構物,,,2018-12-17
3630950,giant fullerenes,巨富勒烯,,,2018-12-17
3630951,glacial acetic acid,冰醋酸,,,2018-12-17
3630952,glass,玻璃,,,2018-12-17
3630953,glucose,葡萄糖,,,2018-12-17
3630954,glue,膠,,,2018-12-17
3630955,gluelike,似膠　,,,2018-12-17
3630956,glutamic acid,麩胺酸　,,,2018-12-17
3630957,glycerol,甘油；丙三醇,,,2018-12-17
3630958,glyceryl trinitrate,三硝酸甘油酯,,,2018-12-17
3630959,glyceryl trioleate,三油酸甘油酯,,,2018-12-17
3630960,glyceryl tristearate,三硬脂酸甘油酯,,,2018-12-17
3630961,glycine,甘胺酸,,,2018-12-17
3630962,glycogen,肝醣,,,2018-12-17
3630963,glycolic acid,乙醇酸,,,2018-12-17
3630964,Gouy,古依,,,2018-12-17
3630965,Graham,格雷姆,,,2018-12-17
3630966,Graham's law of diffusion,格雷姆擴散定律,,,2018-12-17
3630967,Graham's law of effusion,格雷姆逸散定律,,,2018-12-17
3630968,gram molecule,克分子,,,2018-12-17
3630969,gram-atom,克原子,,,2018-12-17
3630970,gram atom,克原子,,,2018-12-17
3630971,gram-molecule,克分子,,,2018-12-17
3630972,graphene,石墨烯；單層石墨,,,2018-12-17
3630973,graphite,石墨,,,2018-12-17
3630974,green chemistry,綠色化學 {永續化學},,,2018-12-17
3630975,greenhouse effect,溫室效應,,,2018-12-17
3630976,green house effect,溫室效應,,,2018-12-17
3630977,ground state,基態,,,2018-12-17
3630978,group,族；基；團；群,,,2018-12-17
3630979,Grove,格羅夫　,,,2018-12-17
3630980,guanine,鳥[糞]嘌呤　,,,2018-12-17
3630981,Haber,哈柏,,,2018-12-17
3630982,Haber process,哈柏法,,,2018-12-17
3630983,Haber-Bosch process,哈柏-波希法,,,2018-12-17
3630984,half filled,半滿　,,,2018-12-17
3630985,half-cell,半電池,,,2018-12-17
3630986,half-cell potential,半電池電位,,,2018-12-17
3630987,half-life,半生期,,,2018-12-17
3630988,half-reaction method,半反應法　,,,2018-12-17
3630989,Hall,霍爾,,,2018-12-17
3630990,Hall process,霍爾法 {煉鋁},,,2018-12-17
3630991,halogen,鹵素,,,2018-12-17
3630992,halogenation,鹵化,,,2018-12-17
3630993,halohydrocarbons,鹵烴類,,,2018-12-17
3630994,halon,海龍　,,,2018-12-17
3630995,"halothane {2-bromo-2-chloro-1,1,1-trifluoroethane}","鹵神；2-溴-2-氯-1,1,1-三氟乙烷",,20190603修訂,2019-06-03
3630996,hard detergent,硬性清潔劑,,,2018-12-17
3630997,hard water,硬水,,,2018-12-17
3630998,hardening process,硬化過程　,,,2018-12-17
3630999,Hauptman,豪普特曼　,,,2018-12-17
3631000,Haworth formula,哈瓦司[化學]式,,,2018-12-17
3631001,heat of combustion,燃燒熱,,,2018-12-17
